Colonne1,Colonne2,Colonne3
Iex,Prms,fspike
1.76E-11,7.54E-11,1.00E+03
1.80E-11,7.57E-11,1.00E+03
1.84E-11,7.57E-11,1.00E+03
1.88E-11,7.61E-11,1.00E+03
1.93E-11,7.65E-11,1.00E+03
1.97E-11,7.67E-11,1.00E+03
2.02E-11,8.20E-11,2.00E+03
2.06E-11,8.69E-11,3.00E+03
2.11E-11,1.03E-10,5.00E+03
2.16E-11,1.10E-10,5.00E+03
2.21E-11,1.14E-10,6.00E+03
2.26E-11,1.24E-10,7.00E+03
2.31E-11,1.31E-10,8.00E+03
2.37E-11,1.44E-10,1.00E+04
2.42E-11,1.55E-10,1.20E+04
2.48E-11,1.62E-10,1.30E+04
2.53E-11,1.67E-10,1.40E+04
2.59E-11,1.72E-10,1.50E+04
2.65E-11,1.78E-10,1.60E+04
2.71E-11,1.80E-10,1.70E+04
2.77E-11,1.93E-10,2.00E+04
2.84E-11,1.97E-10,2.10E+04
2.90E-11,1.99E-10,2.10E+04
2.97E-11,2.04E-10,2.30E+04
3.04E-11,2.12E-10,2.60E+04
3.11E-11,2.15E-10,2.70E+04
3.18E-11,2.19E-10,2.80E+04
3.25E-11,2.23E-10,2.90E+04
3.33E-11,2.28E-10,3.10E+04
3.41E-11,2.31E-10,3.20E+04
3.49E-11,2.34E-10,3.20E+04
3.57E-11,2.41E-10,3.40E+04
3.65E-11,2.44E-10,3.50E+04
3.73E-11,2.49E-10,3.70E+04
3.82E-11,2.52E-10,3.80E+04
3.91E-11,2.57E-10,3.90E+04
4.00E-11,2.61E-10,4.00E+04
4.09E-11,2.64E-10,4.20E+04
4.18E-11,2.66E-10,4.20E+04
4.28E-11,2.68E-10,4.30E+04
4.38E-11,2.73E-10,4.50E+04
4.48E-11,2.78E-10,4.70E+04
4.58E-11,2.80E-10,4.70E+04
4.69E-11,2.85E-10,4.90E+04
4.80E-11,2.88E-10,5.00E+04
4.91E-11,2.92E-10,5.20E+04
5.02E-11,2.95E-10,5.30E+04
5.13E-11,2.99E-10,5.40E+04
5.25E-11,3.03E-10,5.60E+04
5.37E-11,3.05E-10,5.70E+04
5.50E-11,3.09E-10,5.80E+04
5.63E-11,3.12E-10,6.00E+04
5.75E-11,3.17E-10,6.10E+04
5.89E-11,3.20E-10,6.20E+04
6.02E-11,3.22E-10,6.30E+04
6.16E-11,3.26E-10,6.50E+04
6.30E-11,3.30E-10,6.70E+04
6.45E-11,3.35E-10,6.80E+04
6.60E-11,3.38E-10,6.90E+04
6.75E-11,3.40E-10,7.10E+04
6.91E-11,3.44E-10,7.30E+04
7.07E-11,3.48E-10,7.40E+04
7.23E-11,3.51E-10,7.50E+04
7.39E-11,3.54E-10,7.70E+04
7.57E-11,3.57E-10,7.80E+04
7.74E-11,3.62E-10,8.10E+04
7.92E-11,3.65E-10,8.20E+04
8.10E-11,3.68E-10,8.30E+04
8.29E-11,3.71E-10,8.50E+04
8.48E-11,3.76E-10,8.70E+04
8.67E-11,3.80E-10,8.80E+04
8.87E-11,3.83E-10,9.00E+04
9.08E-11,3.86E-10,9.20E+04
9.29E-11,3.89E-10,9.40E+04
9.50E-11,3.94E-10,9.50E+04
9.72E-11,3.97E-10,9.80E+04
9.95E-11,4.00E-10,9.90E+04
1.02E-10,4.03E-10,1.01E+05
1.04E-10,4.07E-10,1.03E+05
1.07E-10,4.11E-10,1.04E+05
1.09E-10,4.15E-10,1.07E+05
1.12E-10,4.18E-10,1.08E+05
1.14E-10,4.21E-10,1.10E+05
1.17E-10,4.26E-10,1.13E+05
1.19E-10,4.29E-10,1.14E+05
1.22E-10,4.33E-10,1.16E+05
1.25E-10,4.37E-10,1.18E+05
1.28E-10,4.40E-10,1.20E+05
1.31E-10,4.43E-10,1.22E+05
1.34E-10,4.48E-10,1.25E+05
1.37E-10,4.52E-10,1.26E+05
1.40E-10,4.55E-10,1.28E+05
1.43E-10,4.59E-10,1.31E+05
1.47E-10,4.63E-10,1.32E+05
1.50E-10,4.66E-10,1.35E+05
1.53E-10,4.70E-10,1.37E+05
1.57E-10,4.75E-10,1.40E+05
1.61E-10,4.78E-10,1.41E+05
1.64E-10,4.81E-10,1.44E+05
1.68E-10,4.86E-10,1.46E+05
1.72E-10,4.90E-10,1.48E+05
1.76E-10,4.94E-10,1.51E+05
1.80E-10,4.99E-10,1.54E+05
1.84E-10,5.02E-10,1.56E+05
1.88E-10,5.05E-10,1.58E+05
1.93E-10,5.10E-10,1.61E+05
1.97E-10,5.14E-10,1.63E+05
2.02E-10,5.18E-10,1.66E+05
2.06E-10,5.22E-10,1.68E+05
2.11E-10,5.26E-10,1.71E+05
2.16E-10,5.30E-10,1.73E+05
2.21E-10,5.34E-10,1.76E+05
2.26E-10,5.38E-10,1.79E+05
2.31E-10,5.42E-10,1.81E+05
2.37E-10,5.46E-10,1.84E+05
2.42E-10,5.50E-10,1.86E+05
2.48E-10,5.55E-10,1.89E+05
2.53E-10,5.59E-10,1.92E+05
2.59E-10,5.63E-10,1.95E+05
2.65E-10,5.68E-10,1.98E+05
2.71E-10,5.72E-10,2.00E+05
2.77E-10,5.76E-10,2.03E+05
2.84E-10,5.80E-10,2.05E+05
2.90E-10,5.84E-10,2.09E+05
2.97E-10,5.88E-10,2.12E+05
3.04E-10,5.93E-10,2.15E+05
3.11E-10,5.97E-10,2.18E+05
3.18E-10,6.02E-10,2.21E+05
3.25E-10,6.06E-10,2.24E+05
3.33E-10,6.10E-10,2.27E+05
3.41E-10,6.15E-10,2.30E+05
3.49E-10,6.19E-10,2.33E+05
3.57E-10,6.23E-10,2.36E+05
3.65E-10,6.28E-10,2.39E+05
3.73E-10,6.32E-10,2.42E+05
3.82E-10,6.38E-10,2.45E+05
3.91E-10,6.42E-10,2.48E+05
4.00E-10,6.46E-10,2.52E+05
4.09E-10,6.50E-10,2.55E+05
4.18E-10,6.56E-10,2.58E+05
4.28E-10,6.60E-10,2.62E+05
4.38E-10,6.64E-10,2.65E+05
4.48E-10,6.69E-10,2.68E+05
4.58E-10,6.74E-10,2.72E+05
4.69E-10,6.78E-10,2.75E+05
4.80E-10,6.83E-10,2.78E+05
4.91E-10,6.88E-10,2.82E+05
5.02E-10,6.93E-10,2.85E+05
5.13E-10,6.97E-10,2.89E+05
5.25E-10,7.03E-10,2.92E+05
5.37E-10,7.07E-10,2.96E+05
5.50E-10,7.12E-10,2.99E+05
5.63E-10,7.16E-10,3.03E+05
5.75E-10,7.22E-10,3.06E+05
5.89E-10,7.26E-10,3.10E+05
6.02E-10,7.31E-10,3.14E+05
6.16E-10,7.37E-10,3.17E+05
6.30E-10,7.41E-10,3.21E+05
6.45E-10,7.46E-10,3.24E+05
6.60E-10,7.52E-10,3.28E+05
6.75E-10,7.56E-10,3.32E+05
6.91E-10,7.61E-10,3.36E+05
7.07E-10,7.67E-10,3.39E+05
7.23E-10,7.72E-10,3.43E+05
7.39E-10,7.76E-10,3.47E+05
7.57E-10,7.82E-10,3.51E+05
7.74E-10,7.87E-10,3.55E+05
7.92E-10,7.92E-10,3.58E+05
8.10E-10,7.97E-10,3.62E+05
8.29E-10,8.02E-10,3.66E+05
8.48E-10,8.08E-10,3.70E+05
8.67E-10,8.13E-10,3.74E+05
8.87E-10,8.19E-10,3.78E+05
9.08E-10,8.24E-10,3.81E+05
9.29E-10,8.30E-10,3.85E+05
9.50E-10,8.35E-10,3.89E+05
9.72E-10,8.41E-10,3.93E+05
9.95E-10,8.46E-10,3.97E+05
1.02E-09,8.52E-10,4.01E+05
1.04E-09,8.57E-10,4.05E+05
1.07E-09,8.62E-10,4.09E+05
1.09E-09,8.68E-10,4.13E+05
1.12E-09,8.74E-10,4.17E+05
1.14E-09,8.79E-10,4.21E+05
1.17E-09,8.85E-10,4.25E+05
1.19E-09,8.91E-10,4.29E+05
1.22E-09,8.97E-10,4.33E+05
1.25E-09,9.03E-10,4.37E+05
1.28E-09,9.09E-10,4.41E+05
1.31E-09,9.15E-10,4.45E+05
1.34E-09,9.21E-10,4.49E+05
1.37E-09,9.27E-10,4.53E+05
1.40E-09,9.33E-10,4.57E+05
1.43E-09,9.39E-10,4.61E+05
1.47E-09,9.46E-10,4.66E+05
1.50E-09,9.52E-10,4.70E+05
1.53E-09,9.58E-10,4.74E+05
1.57E-09,9.64E-10,4.78E+05
1.61E-09,9.71E-10,4.82E+05
1.64E-09,9.77E-10,4.86E+05
1.68E-09,9.83E-10,4.90E+05
1.72E-09,9.90E-10,4.94E+05
1.76E-09,9.97E-10,4.98E+05
1.80E-09,1.00E-09,5.02E+05
1.84E-09,1.01E-09,5.07E+05
1.88E-09,1.02E-09,5.11E+05
1.93E-09,1.02E-09,5.15E+05
1.97E-09,1.03E-09,5.19E+05
2.02E-09,1.04E-09,5.23E+05
2.06E-09,1.04E-09,5.27E+05
2.11E-09,1.05E-09,5.31E+05
2.16E-09,1.06E-09,5.36E+05
2.21E-09,1.07E-09,5.40E+05
2.26E-09,1.07E-09,5.44E+05
2.31E-09,1.08E-09,5.48E+05
2.37E-09,1.09E-09,5.52E+05
2.42E-09,1.10E-09,5.57E+05
2.48E-09,1.10E-09,5.61E+05
2.53E-09,1.11E-09,5.65E+05
2.59E-09,1.12E-09,5.69E+05
2.65E-09,1.13E-09,5.74E+05
2.71E-09,1.13E-09,5.78E+05
2.77E-09,1.14E-09,5.82E+05
2.84E-09,1.15E-09,5.86E+05
2.90E-09,1.16E-09,5.91E+05
2.97E-09,1.17E-09,5.95E+05
3.04E-09,1.17E-09,6.00E+05
3.11E-09,1.18E-09,6.04E+05
3.18E-09,1.19E-09,6.08E+05
3.25E-09,1.20E-09,6.13E+05
3.33E-09,1.21E-09,6.17E+05
3.41E-09,1.22E-09,6.22E+05
3.49E-09,1.23E-09,6.26E+05
3.57E-09,1.24E-09,6.31E+05
3.65E-09,1.24E-09,6.35E+05
3.73E-09,1.25E-09,6.40E+05
3.82E-09,1.26E-09,6.44E+05
3.91E-09,1.27E-09,6.49E+05
4.00E-09,1.29E-09,6.53E+05
4.09E-09,1.30E-09,6.58E+05
4.18E-09,1.31E-09,6.62E+05
4.28E-09,1.32E-09,6.67E+05
4.38E-09,1.33E-09,6.71E+05
4.48E-09,1.34E-09,6.76E+05
4.58E-09,1.35E-09,6.80E+05
4.69E-09,1.36E-09,6.85E+05
4.80E-09,1.38E-09,6.90E+05
4.91E-09,1.39E-09,6.94E+05
5.02E-09,1.40E-09,6.99E+05
5.13E-09,1.41E-09,7.03E+05
5.25E-09,1.43E-09,7.08E+05
5.37E-09,1.44E-09,7.12E+05
5.50E-09,1.46E-09,7.16E+05
5.63E-09,1.47E-09,7.21E+05
5.75E-09,1.48E-09,7.25E+05
5.89E-09,1.50E-09,7.30E+05
6.02E-09,1.52E-09,7.34E+05
6.16E-09,1.53E-09,7.38E+05
6.30E-09,1.55E-09,7.43E+05
6.45E-09,1.56E-09,7.47E+05
6.60E-09,1.58E-09,7.51E+05
6.75E-09,1.60E-09,7.55E+05
6.91E-09,1.62E-09,7.59E+05
7.07E-09,1.64E-09,7.64E+05
7.23E-09,1.65E-09,7.68E+05
7.39E-09,1.67E-09,7.72E+05
7.57E-09,1.69E-09,7.75E+05
7.74E-09,1.71E-09,7.79E+05
7.92E-09,1.73E-09,7.83E+05
8.10E-09,1.75E-09,7.87E+05
8.29E-09,1.78E-09,7.91E+05
8.48E-09,1.80E-09,7.94E+05
8.67E-09,1.82E-09,7.98E+05
8.87E-09,1.84E-09,8.01E+05
9.08E-09,1.87E-09,8.04E+05
9.29E-09,1.89E-09,8.08E+05
9.50E-09,1.92E-09,8.11E+05
9.72E-09,1.94E-09,8.14E+05
9.95E-09,1.97E-09,8.17E+05
1.02E-08,2.00E-09,8.20E+05
1.04E-08,2.02E-09,8.23E+05
1.07E-08,2.05E-09,8.25E+05
1.09E-08,2.08E-09,8.28E+05
1.12E-08,2.11E-09,8.30E+05
1.14E-08,2.14E-09,8.32E+05
1.17E-08,2.17E-09,8.34E+05
1.19E-08,2.20E-09,8.36E+05
1.22E-08,2.24E-09,8.38E+05
1.25E-08,2.27E-09,8.40E+05
1.28E-08,2.30E-09,8.41E+05
1.31E-08,2.34E-09,8.42E+05
1.34E-08,2.37E-09,8.44E+05
1.37E-08,2.41E-09,8.44E+05
1.40E-08,2.45E-09,8.45E+05
1.43E-08,2.48E-09,8.46E+05
1.47E-08,2.52E-09,8.46E+05
1.50E-08,2.56E-09,8.46E+05
1.53E-08,2.60E-09,8.46E+05
1.57E-08,2.64E-09,8.45E+05
1.61E-08,2.69E-09,8.45E+05
1.64E-08,2.73E-09,8.44E+05
1.68E-08,2.77E-09,8.42E+05
1.72E-08,2.82E-09,8.41E+05
1.76E-08,2.87E-09,8.39E+05
1.80E-08,2.91E-09,8.36E+05
1.84E-08,2.96E-09,8.34E+05
1.88E-08,3.01E-09,8.31E+05
1.93E-08,3.06E-09,8.27E+05
1.97E-08,3.12E-09,8.23E+05
